"contrast","WMresp_acc","PASkey.keys","session","participant","contrast_factor"
0.041560063,"1",1,"1",1,"Low"
0.031560063,"1",0,"1",1,"Low"
0.041560063,"1",0,"1",1,"Low"
0,"0",0,"1",1,"Low"
0.051560063,"1",0,"1",1,"Low"
0.061560063,"1",0,"1",1,"Low"
0.071560063,"0",1,"1",1,"Low"
0.061560063,"1",0,"1",1,"Low"
0.071560063,"1",0,"1",1,"Low"
0.081560063,"1",0,"1",1,"Low"
0.091560063,"1",0,"1",1,"Low"
0.101560063,"0",0,"1",1,"Low"
0.111560063,"1",0,"1",1,"Low"
0.121560063,"1",0,"1",1,"Low"
0.131560063,"1",0,"1",1,"Low"
0.141560063,"1",0,"1",1,"Low"
0.151560063,"1",0,"1",1,"Low"
0.161560063,"1",0,"1",1,"Low"
0.171560063,"1",0,"1",1,"Low"
0.181560063,"0",0,"1",1,"Low"
0.191560063,"1",0,"1",1,"Low"
0.201560063,"1",0,"1",1,"Medium-Low"
0.211560063,"1",0,"1",1,"Medium-Low"
0,"0",0,"1",1,"Low"
0.221560063,"1",1,"1",1,"Medium-Low"
0.211560063,"0",1,"1",1,"Medium-Low"
0.201560063,"1",0,"1",1,"Medium-Low"
0,"0",0,"1",1,"Low"
0.211560063,"1",0,"1",1,"Medium-Low"
0,"0",0,"1",1,"Low"
0.221560063,"0",0,"1",1,"Medium-Low"
0.231560063,"1",1,"1",1,"Medium-Low"
0.221560063,"1",0,"1",1,"Medium-Low"
0.231560063,"1",0,"1",1,"Medium-Low"
0.1,"1",3,"1",1,"Low"
0.241560063,"1",1,"1",1,"Medium-Low"
0,"0",0,"1",1,"Low"
0,"0",0,"1",1,"Low"
0.231560063,"1",0,"1",1,"Medium-Low"
0.241560063,"0",0,"1",1,"Medium-Low"
0.251560063,"1",0,"1",1,"Medium-Low"
0,"0",0,"1",1,"Low"
0.261560063,"1",1,"1",1,"Medium-Low"
0.251560063,"1",1,"1",1,"Medium-Low"
0,"1",0,"1",1,"Low"
0.241560063,"1",0,"1",1,"Medium-Low"
0,"0",0,"1",1,"Low"
0,"1",0,"1",1,"Low"
